Comunidad;Usos;0 - 199;200 - 399;400 - 599;600 - 799;800 - 999;1.000 - 1.199;1.200 - 1.399;1.400 - 1.599;1.600 - 1.799;1.800 - 1.999;>= 2.000
COMUNIDAD VALENCIANA;No forestal;485.065,13;218.376,32;149.805,21;149.997,46;81.464,48;21.745,10;3.583,95;272,58;120,67;;
EXTREMADURA;Forestal arbolado;14.836,40;326.004,43;283.952,41;123.240,98;38.742,28;16.118,53;5.918,00;1.253,11;4,29;0;
EXTREMADURA;Forestal arbolado ralo;15.332,37;336.770,25;252.845,82;27.719,24;7.882,56;4.723,23;2.144,61;102,08;0,19;0;
EXTREMADURA;Forestal desarbolado;8.719,38;396.460,88;283.650,34;66.021,49;24.682,70;11.894,80;10.067,59;8.364,96;5.648,99;5.485,36;
EXTREMADURA;No forestal;71.202,18;965.192,84;733.402,67;99.957,02;10.191,59;2.546,04;1.206,90;591,09;387,94;191,63;
GALICIA;Forestal arbolado;204.476,45;297.818,91;315.214,85;128.928,02;56.557,91;23.562,46;14.472,25;3.814,58;531,31;;
GALICIA;Forestal arbolado ralo;0;0;0;0;0;0;0;0;0;;
GALICIA;Forestal desarbolado;46.678,81;111.359,07;253.902,99;223.473,92;144.479,68;73.100,96;44.020,78;18.633,27;7.284,41;;
GALICIA;No forestal;246.340,96;235.358,52;294.885,08;147.153,22;50.862,65;12.309,34;2.222,87;66,15;0,22;;
ILLES BALEARS;Forestal arbolado;79.301,11;29.803,70;6.860,20;5.561,82;948,33;;;;;;
ILLES BALEARS;Forestal arbolado ralo;0;0;0;0;0;;;;;;
ILLES BALEARS;Forestal desarbolado;52.957,39;11.514,33;9.065,92;3.592,06;4.297,21;;;;;;
ILLES BALEARS;No forestal;275.943,52;15.455,79;3.412,52;361,33;92,93;;;;;;
LA RIOJA;Forestal arbolado;0;2.178,29;5.106,07;10.408,40;24.476,13;34.073,22;27.723,81;15.993,17;8.957,66;;
LA RIOJA;Forestal arbolado ralo;0;0;0;0;0;0;0;0;0;;
LA RIOJA;Forestal desarbolado;0;3.520,00;13.515,04;29.072,39;36.543,01;35.646,20;23.285,28;11.973,77;11.931,17;;
LA RIOJA;No forestal;0;34.788,72;106.879,21;55.369,31;7.183,30;1.496,19;1.204,74;1.285,85;1.915,98;;
PAÍS VASCO;Forestal arbolado;49.684,44;90.005,27;75.994,42;80.320,35;43.292,58;10.955,87;;;;;
PAÍS VASCO;Forestal arbolado ralo;9.202,54;11.864,31;7.136,69;5.671,60;4.033,96;1.842,90;;;;;
PAÍS VASCO;Forestal desarbolado;9.247,27;9.017,85;17.110,74;18.950,39;17.563,02;7.460,47;;;;;
PAÍS VASCO;No forestal;79.560,73;42.397,54;88.993,93;35.417,33;6.667,25;1.090,46;;;;;
PRINCIPADO DE ASTURIAS;Forestal arbolado;61.345,00;78.319,53;55.275,39;42.196,55;36.138,74;27.408,13;17.108,02;7.073,01;836,61;;
PRINCIPADO DE ASTURIAS;Forestal arbolado ralo;4.613,12;9.743,64;9.095,37;9.108,16;3.521,14;2.215,87;2.220,64;1.479,98;430,36;;
PRINCIPADO DE ASTURIAS;Forestal desarbolado;11.618,58;27.203,07;45.010,52;55.259,61;49.762,53;38.024,07;27.051,86;22.353,94;22.838,64;;
PRINCIPADO DE ASTURIAS;No forestal;120.924,64;85.903,01;62.497,16;52.115,56;30.170,35;17.419,97;9.448,15;7.060,26;7.566,28;;
REGIÓN DE MURCIA;Forestal arbolado;1.061,03;5.820,62;11.299,51;21.252,80;25.473,25;18.079,67;11.551,77;5.625,75;2.165,68;;
REGIÓN DE MURCIA;Forestal arbolado ralo;7.364,31;28.266,37;44.726,33;36.236,90;24.954,18;13.400,46;9.769,65;2.080,77;149,19;;
REGIÓN DE MURCIA;Forestal desarbolado;40.252,71;70.787,96;59.844,23;39.890,71;13.455,09;5.891,65;4.173,88;1.800,28;406,79;;
REGIÓN DE MURCIA;No forestal;201.011,95;146.239,38;113.605,13;95.961,66;39.364,88;21.489,93;7.314,39;628,75;0;;
