;ANUARIO DE ESTADÍSTICA FORESTAL 2005;;;;;;;;;;;;
Superficie por uso, altitud y comunidad autónoma;;;;;;;;;;;;;
;;;;;;;;;;;;;
ANDALUCÍA;;;;;;;;;;;;;
Forestal arbolado;158,79;5.840,93;26.084,10;271.645,90;541.468,70;478.111,23;170.897,99;83.515,40;31.675,04;6.032,55;360,08;1.615.790,71;
Forestal arbolado ralo;121,58;1.946,10;7.573,51;145.465,16;187.109,51;103.141,62;39.803,68;14.278,21;3.267,17;583,05;58,88;503.348,47;
Forestal desarbolado;602,61;14.095,73;38.137,51;364.323,41;615.795,94;570.808,40;321.997,10;231.740,63;155.197,33;67.600,15;16.948,15;2.397.246,96;
No forestal;339,01;9.966,16;84.700,04;1.675.054,37;2.382.617,27;607.885,16;88.365,72;26.408,83;12.518,79;9.231,34;8.929,51;4.906.016,20;
TOTAL;1.221,99;31.848,92;156.495,16;2.456.488,84;3.726.991,42;1.759.946,41;621.064,49;355.943,07;202.658,33;83.447,09;26.296,62;9.422.402,34;
;;;;;;;;;;;;;
CATALUÑA;;;;;;;;;;;;;
Usos;0 - 199;200 - 399;400 - 599;600 - 799;800 - 999;1.000 - 1.199;1.200 - 1.399;1.400 - 1.599;1.600 - 1.799;1.800 - 1.999;>= 2.000;Total;
Forestal arbolado;148.735,20;208.382,86;262.392,04;242.457,99;142.578,80;97.060,64;62.086,06;50.295,99;50.577,17;25.303,41;20.636,69;1.310.506,85;
Forestal arbolado ralo;6.014,75;15.494,16;14.620,45;13.274,67;8.634,32;5.704,80;5.206,29;4.102,30;2.710,38;2.419,12;5.386,02;83.567,26;
Forestal desarbolado;44.631,63;57.422,68;54.591,48;46.991,60;27.732,99;25.638,11;29.788,34;29.201,93;45.991,21;20.084,72;79.795,62;461.870,31;
No forestal;483.761,97;411.592,71;232.107,46;124.058,15;36.042,75;27.648,07;16.953,47;7.499,93;4.892,56;1.009,35;9.814,63;1.355.381,05;
TOTAL;683.143,55;692.892,41;563.711,43;426.782,41;214.988,86;156.051,62;114.034,16;91.100,15;104.171,32;48.816,60;115.632,96;3.211.325,47;
;;;;;;;;;;;;;
COMUNIDAD DE MADRID;;;;;;;;;;;;;
Usos;0 - 199;200 - 399;400 - 599;600 - 799;800 - 999;1.000 - 1.199;1.200 - 1.399;1.400 - 1.599;>= 1.600;Total;;;
Forestal arbolado;0,00;0,00;13.466,48;52.721,51;38.019,82;17.994,06;16.157,15;12.852,61;12.370,87;163.582,50;;;
Forestal arbolado ralo;0,00;0,00;4.726,45;10.219,14;8.071,40;5.934,21;2.290,80;593,46;47,31;31.882,77;;;
Forestal desarbolado;0,00;0,00;18.350,05;50.466,73;50.050,64;35.714,26;17.563,65;11.261,44;14.096,23;197.503,00;;;
No forestal;0,00;0,00;89.844,82;277.225,07;37.626,49;4.659,61;426,19;41,53;0,40;409.824,11;;;
TOTAL;0,00;0,00;126.387,80;390.632,45;133.768,35;64.302,14;36.437,79;24.749,04;26.514,81;802.792,38;;;
;;;;;;;;;;;;;
COMUNIDAD FORAL DE NAVARRA;;;;;;;;;;;;;
Usos;0 - 199;200 - 399;400 - 599;600 - 799;800 - 999;1.000 - 1.199;1.200 - 1.399;1.400 - 1.599;>= 1.600;Total;;;
Forestal arbolado;4.907,87;25.940,80;57.094,67;101.191,10;90.589,16;47.924,83;12.608,02;2.493,10;1.152,83;343.902,38;;;
Forestal arbolado ralo;388,18;1.753,41;6.788,07;11.122,59;6.084,14;1.934,00;371,59;109,99;13,20;28.565,17;;;
